_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
178,Галицький,Менцинського М.,3,"ресторан ""Батяр""",NULL,ПП Боднар О.Л.,NULL,NULL,NULL,NULL,NULL,0680107471,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
179,Галицький,Князя Романа,12/14,"ресторан ""Мясна Парцеля""",60.0,ПП Дуліба С.Р.,NULL,NULL,NULL,NULL,NULL,0680110855,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
180,Франківський,Кульпарківська,135.0,"кафе ""Гавань""",40.0,ФОП Данчишин Степан Іванович,NULL,80.0,NULL,NULL,NULL,0680435893,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
181,Личаківський,Коциловського Й.,10,"Кафе ""Квартира №5""",24.0,"ТзОВ ""Явір""",NULL,"130,4",NULL,NULL,NULL,0681354611,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
182,Залізничний,Широка,64.0,"піцерія ""Чікаго""",30.0,Паньків Оксана Михайлівна,Засядько Галина Валеріївна,159.0,NULL,NULL,NULL,0682130313,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
183,Личаківський,Вашингтона Дж.,17Б,"Піцерія ""Челентано""",35.0,ФОП Савчук М.М.,NULL,100.0,NULL,NULL,NULL,0682272959,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
184,Галицький,Братів Рогатинців,43,Сова,20.0,Блажиєвська Р.О.,NULL,85.4,NULL,NULL,NULL,0683010188,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
185,Залізничний,Повітряна,88.0,"кафе-бар ""Хантер""",60.0,Шуст Віталій Володимирович,NULL,NULL,NULL,NULL,NULL,0684649242,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
186,Сихівський,"Червоної Калини, просп. ",109,"піцерія ""Тераса""",50.0,Кульчицький В.О.,NULL,100.0,NULL,NULL,NULL,0684925995,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,NULL,NULL
187,Личаківський,Зелена,15,"Нічний клуб ""М`ята""",NULL,"ТзОВ ""М`ята""",NULL,NULL,NULL,NULL,NULL,0686043330 ,0932391254,12:00-04:00,12:00-04:00,12:00-04:00,12:00-04:00,12:00-04:00,вихідний,вихідний
188,Шевченківський,Інструментальна,10,"""Анастасія""",50.0,"ПП ""Рум'янок""",NULL,112.0,NULL,NULL,NULL,0686549337,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
189,Сихівський,"Червоної Калини, просп. ",62А,"кафе ""Кримська перепічка""",30.0,Лопатіна С.П.,NULL,60.0,NULL,NULL,NULL,0687012644,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,NULL,NULL
190,Личаківський,Пекарська,48,"Кафе ""Чайхана Самарканд""",46.0,"ПП""Чайхана Самарканд"" Ібрагімов Фурхат",NULL,105.0,NULL,NULL,NULL,0687735141,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,12:00-22:00
191,Залізничний,Виговського І.,67,"корчма ""Соняшник""",40.0,Кузьмич Тарас Петрович,NULL,60.0,NULL,NULL,NULL,0687916129,NULL,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00
192,Франківський,Поліщука В.,83.0,"кавярня ""Кавярня ""Мазурек""",14.0,ФОП Булавіна Оксана Борисівна,NULL,21.0,NULL,NULL,NULL,0689283543,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-18:00
193,Франківський,Кульпарківська,59.0,"кафе ""Roastery cafe""",20.0,ФОП Бедрій Маркіян Ярославович,NULL,35.0,NULL,NULL,NULL,0689990099,NULL,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,вихідний,вихідний
194,Галицький,Гнатюка В.,12А,"кафе"" Пекар""",10.0,Сук Леся Володимирівна,NULL,NULL,NULL,NULL,NULL,0730315571,NULL,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,вихідний,вихідний
195,Франківський,"Чупринки Т.,ген.",20.0,"кальян бар ""Allin"" anticafe loungе",20.0,ФОП Ваулін Віталій Сергійович,NULL,60.0,NULL,NULL,NULL,0730788803,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,12:00-02:00,12:00-02:00
196,Личаківський,Круп'ярська,1,"Бар ""Скорпіон""",22.0,СПД ФО Самбурська Т.В.,NULL,"61,7",NULL,NULL,NULL,0930061048,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
197,Франківський,"Чупринки Т.,ген.",56.0,"кав'ярня ""Coffe Max""",12.0,ФОП Визов Василь Олександрович,NULL,20.0,NULL,NULL,NULL,0931131718,NULL,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,вихідний
198,Залізничний,Вигоди,36,LEWANDOVSKA STACJA,35.0,Дучак Роман Іванович,NULL,NULL,NULL,NULL,NULL,0932310395   ,0685017170,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
199,Личаківський,Пекарська,39,"Кафе ""Брейк-Тайм""",16.0,Асад Жозеф Ібрагім,NULL,56.1,NULL,NULL,NULL,0933488254,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00
200,Залізничний,Гніздовського Я.,1,"""Босфор""",200.0,Пелега Галина Василівна,NULL,NULL,NULL,NULL,NULL,0933889595,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
201,Галицький,Староєврейська,5,Вандлер,NULL,"ТзОВ ""СБ""",NULL,NULL,NULL,NULL,NULL,0934546815,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
202,Франківський,Русових,11.0,"паб ""Паб Underground""",35.0,ФОП Заворикіна Едуард Вікторович,NULL,80.0,NULL,NULL,NULL,0935638538,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-02:00,вихідний,вихідний
203,Галицький,"Свободи, просп.",19,"кафе ""Я люблю кебаб""",60.0,ПП Громоздов Ю.В.,NULL,NULL,NULL,NULL,NULL,0935713630,NULL,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,вихідний,вихідний
204,Галицький,Дорошенка П.,2,"кафе ""Донер Кебаб""",15.0,ПП Деміркиран Я.А.,NULL,NULL,NULL,NULL,NULL,0936885725,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
205,Сихівський,Гашека Я.,20,"піцерія ""Лінгуіні""",25.0,Шкред Ю.М.,NULL,41.0,NULL,NULL,NULL,0937083756,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
206,Галицький,Староєврейська,10,Бавілон,NULL,"ТзОВ ""СітіХолдинг""",NULL,158.2,NULL,NULL,NULL,0937146976,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
207,Шевченківський,Творча,8,"Кафе ""Повна пазуха""",36.0,Семененко Євгеній Ігорович,NULL,80.0,NULL,NULL,NULL,0937512734,0962263171,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,вихідний,вихідний
208,Личаківський,Некрасова М.,10,"бар ""МКМ-1""",10.0,ФОП Кхалілібрахім Мохаммед КМ,NULL,20.0,NULL,NULL,NULL,0939557905,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
209,Галицький,Куліша П.,31,"кафе ""With Friends""",60.0,"ТзОВ ""Ньюз Лаунж""",NULL,NULL,NULL,NULL,NULL,0939747122,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
210,Галицький,"Чорновола В., просп.",2Б,Під Кумпелем,50.0,"ТзОВ ""Кумпель Маркет""",NULL,NULL,NULL,NULL,NULL,0939747122,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
211,Сихівський,"Червоної Калини, просп. ",36,"кафе ""Лагунна""",30.0,Краснов А.В.,NULL,65.0,NULL,NULL,NULL,0961346520,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
212,Шевченківський,Хвильового М.,50,Pizzeria del Corso,40.0,Мицан Віталій Євгенович,NULL,60.0,NULL,NULL,NULL,0961701900,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,вихідний,вихідний
213,Шевченківський,Варшавська,56,"Бенкетний зал ""Шинок Вертеп 2""",100.0,"ТзОВ ""На Варшавській""",NULL,497.0,NULL,NULL,NULL,09621070000,NULL,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,вихідний,вихідний
214,Галицький,Вірменська,4,Вірменка,20.0,"ТзОВ ""Вірменка""",NULL,NULL,NULL,NULL,NULL,0962156078,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
215,Галицький,Шевченка Т.,22,кафе,15.0,"ТзОВ ""ЯЛЕДА""",NULL,NULL,NULL,NULL,NULL,0962404770,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
216,Залізничний,Залізнична,38,NULL,17.0,Кіщак Марія Іванівна,NULL,63.4,NULL,NULL,NULL,0962668763,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,вихідний,вихідний
217,Франківський,Котляревського І.,9.0,"кафе ""Кафе ""Родзинка""",20.0,ФОП Підлісна Євгенія Павлівна,NULL,31.0,NULL,NULL,NULL,0962740538,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
218,Франківський,Володимира Великого,2.0,"клуб, ресторан ""Де люкс""",70.0,"ПП ""Де люкс груп""",NULL,300.0,NULL,NULL,NULL,0962768885,NULL,11:00-05:30,11:00-05:30,11:00-05:30,11:00-05:30,11:00-05:30,вихідний,вихідний
219,Галицький,Січових Стрільців,12,"кафе ""Фреш лайн""",NULL,ПП Побурко О.В.,NULL,NULL,NULL,NULL,NULL,0962879670,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
220,Залізничний,Чернівецька,21.0,"кав'ярня ""Франсуа""",4.0,Анісімов Юрій Юрійович,NULL,25.0,NULL,NULL,NULL,0962941110,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
221,Залізничний,Чернівецька,21.0,Pizza - 024,34.0,Савельєв Сергій Анатолійович,NULL,128.2,NULL,NULL,NULL,0962941110,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
222,Галицький,Проїзд Крива Липа,3А,"ресторан ""Ресторація Галицька""",NULL,"ТзОВ ""Глівіцька Торгова Компанія""",NULL,NULL,NULL,NULL,NULL,0962994692,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
223,Франківський,Стрийська,98.0,"кафе-бар ""Анна Катерина""",30.0,ФОП Солонинко Василь Іванович,NULL,60.0,032,2632049.0,NULL,0963151051,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,вихідний,вихідний
224,Галицький,"Свободи, просп.",22,"Піцерія ""Да Вінчі""",50.0,"ТзОВ ""АРТІСАН""",NULL,NULL,NULL,NULL,NULL,0963356602,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
225,Залізничний,Стороженка О.,21.0,"кафе-бар ""Ірена""",37.0,Собецька Зоя Миколаївна,Сердюкова Майя Сергіївна,94.0,032,2395894.0,NULL,0963671306,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00
226,Галицький,Валова,14,"кафе ""Хаббл Баббл""",30.0,ПП Адаменко Р.О.,ПП Перцев Є.А.,NULL,NULL,NULL,NULL,0964139711,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,вихідний,вихідний
227,Галицький,"Ринок, пл.",28,Чесне м'ясо,25.0,ТзОВ Галицький дім,NULL,NULL,NULL,NULL,NULL,0964449763,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
228,Галицький,Староєврейська,24,Наливки зі Львова,NULL,Колодій Т.Б.,NULL,NULL,NULL,NULL,NULL,0964449763,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
229,Франківський,Володимира Великого,2А,"ресторан, колиба, корчма, сопка ""Гуцульська гражка""",280.0,"ПП ""Галіція сервіс""",NULL,350.0,032,2954142.0,NULL,0964503480,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,вихідний,вихідний
230,Залізничний,Виговського І.,69,NULL,NULL,Новіцький Леонід Вікентійович,NULL,90.0,NULL,NULL,NULL,0964576213,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00
231,Сихівський,Кос-Анатольського А.,2,кафе “Кнайпа”,20.0,ТзОВ “Юр”,NULL,25.0,NULL,NULL,NULL,0964716831,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
232,Шевченківський,Липи Ю.,20,"""Реміснича пекарня ""Культ Хліба""",23.0,Савчин Степан Васильович,NULL,68.0,NULL,NULL,NULL,0964723072,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
233,Галицький,Грушевського В.,8,Пекін,30.0,ПП Бангкок,NULL,NULL,NULL,NULL,NULL,0964808978,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
234,Личаківський,Пасічна,2,"Кафе ""Зелен Гай""",30.0,"ТзОВ ""Зелен Гай"" І.Стефанюк",NULL,81.4,032,2240266.0,NULL,0964822546,NULL,08:00-11:00,08:00-11:00,08:00-11:00,08:00-11:00,08:00-11:00,вихідний,вихідний
235,Личаківський,Пасічна,90,Кафе,70.0,ФОП Квасниця А.О.,NULL,63.0,NULL,NULL,NULL,0965051366,NULL,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,вихідний,вихідний
236,Франківський,Володимира Великого,34.0,"піцерія ""Costa pizza""",50.0,ФОП Боженко Генадій Омелянович,NULL,80.0,NULL,NULL,NULL,0965357745,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
237,Залізничний,Залізнична,50,"""Мангал""",21.0,Акгюн Надім,NULL,57.0,NULL,NULL,NULL,0965501245,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
238,Личаківський,Механічна,1,кафе-бар,12.0,СПД ФО Софінська Тетяна Любомирівна,NULL,"131,7",NULL,NULL,NULL,0966873244,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
239,Галицький,Театральна,23,"кафе ""ТАКСІМ""",20.0,"ПП ""ТАКСІМ""",NULL,NULL,NULL,NULL,NULL,0967700803,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
240,Галицький,Валова,15,Львівська мануфактура кави,35.0,Дума Л.С.,NULL,113.0,NULL,NULL,NULL,0968285197,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
241,Галицький,"Свободи, просп.",22,"магазин-кавярня ""Львівська мануфактура кави""",NULL,Дума Ярослав Михайлович,NULL,NULL,NULL,NULL,NULL,0968285197,NULL,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,вихідний,вихідний
242,Залізничний,Любінська,92,"Кафе ""Ярослав""",80.0,Святошенко Володимир Григорович,NULL,159.8,NULL,NULL,NULL,0968990313,0676752828,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
243,Галицький,Дудаєва Дж.,5,"кафе ""Full House""",NULL,"ТзОВ ""Гема""",NULL,NULL,NULL,NULL,NULL,0969901333,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,вихідний,вихідний
244,Личаківський,Круп'ярська,8,"Кафе-бар ""Фокача""",16.0,СПД ФО Петришин Леся Михайлівна,NULL,27.5,NULL,NULL,NULL,0970321055,NULL,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,вихідний,вихідний
245,Франківський,"Чупринки Т.,ген.",68.0,"кондитерська-кафе ""Багет""",50.0,"ТзОВ ""Гп груп""",NULL,120.0,NULL,NULL,NULL,0970775775,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
246,Галицький,Братів Рогатинців,27,Мюзік лаб,20.0,Інгурський А.В.,NULL,103.7,NULL,NULL,NULL,0971049704,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
247,Галицький,Валова,15,Чураско,40.0,Кандя Ю.,NULL,NULL,NULL,NULL,NULL,0971103929,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
248,Галицький,"Ринок, пл.",35,Мушля,15.0,ТзОВ Ринок,NULL,56.6,NULL,NULL,NULL,0971103929,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
249,Залізничний,Залізнична,4,"""Фрі-бургер""",NULL,Візний Андрій Володимирович,NULL,37.7,NULL,NULL,NULL,0971133402,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
250,Залізничний,Садова,1.0,BURGERS BUFET,20.0,Хмільвський Ростислав Миколайович,NULL,114.0,NULL,NULL,NULL,0971155995,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,10:00-22:00,10:00-22:00
251,Галицький,"Чупринки Т.,ген.",5,кафе,NULL,Геревич І.Р.,NULL,NULL,NULL,NULL,NULL,0971227515,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
252,Галицький,Дорошенка П.,50,ПАБ,45.0,ПП Завальна Н.О.,NULL,NULL,NULL,NULL,NULL,0971396925,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
253,Залізничний,Кульпарківська,172А,"ресторан ""Три корони""",126.0,Любіцька Богдана Василівна,NULL,256.6,NULL,NULL,NULL,0971758745,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00
254,Галицький,Краківська,5,Коза ностра,30.0,"ПП ""Амікофуд""",NULL,NULL,NULL,NULL,NULL,0971860289,NULL,NULL,NULL,NULL,NULL,NULL,вихідний,вихідний
255,Галицький,Братів Рогатинців,9,Вина Криму,10.0,Галашевський В.В.,NULL,NULL,NULL,NULL,NULL,0972101025,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
256,Шевченківський,Хмельницького Б.,225,фрі-хауз,0.0,Оліярник Наталія Богданівна,NULL,8.0,NULL,NULL,NULL,0972136255,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
257,Галицький,Краківська,15-17,Медівня,40.0,ТзОв Медівня,NULL,NULL,NULL,NULL,NULL,0972172865,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
258,Галицький,Краківська,14,Юрашки,10.0,Верхоляк І.І.,NULL,108.9,NULL,NULL,NULL,0972329374,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
259,Залізничний,Любінська,89,NULL,NULL,Бірецька Ярослава Іллівна,NULL,46.0,NULL,NULL,NULL,0972392488,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
260,Шевченківський,Остряниці Я.,1,Колос,28.0,Огоновська Оксана Миронівна,NULL,67.0,NULL,NULL,NULL,0972493444,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
261,Галицький,Проїзд Крива Липа,7,"кафе ""Тралі-Валі""",10.0,"ТзОВ ""Тралі-Валі""",NULL,NULL,NULL,NULL,NULL,0972674493,0682213730,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
262,Шевченківський,Хмельницького Б.,99,Підзамче,36.0,"ТзОВ ""Підзамче""",NULL,150.0,NULL,NULL,NULL,0972703944,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
263,Залізничний,Городоцька,263,"""Рибна хата""",20.0,Крупська Марія Михайлівна,NULL,50.0,NULL,NULL,NULL,0973227591,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
264,Галицький,Вірменська,16,Рудольфо,30.0,"ТзОВ ""Камяниця Обухівська""",NULL,NULL,NULL,NULL,NULL,0973443639,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
265,Личаківський,Чехова А.,3,"Бар ""Орхідея""",16.0,СПД ФО Петрушка Олег Михайлович,NULL,50.0,NULL,NULL,NULL,0973545013,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
266,Галицький,Лесі Українки,27,Деліція,NULL,ТзОВ Деліція,NULL,NULL,NULL,NULL,NULL,0973742832,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
267,Франківський,Тролейбусна,3.0,"ресторан ""Династія""",140.0,NULL,NULL,NULL,032,2432000.0,NULL,0973808417,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
268,Личаківський,Пекарська,16,"піцерія ""Мама міа""",40.0,СПД ФО Кузь Зіновій Романович,NULL,"101,6",NULL,NULL,NULL,0974024794,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
269,Залізничний,Апостола Д.,10,"кафе ""У Оксани""",20.0,Потюк Михайло Степанович,NULL,45.0,NULL,NULL,NULL,0974195980,NULL,вихідний,11:00-16:00,11:00-16:00,11:00-16:00,11:00-16:00,11:00-15:00,вихідний
270,Галицький,Котлярська,NULL,Штука,32.0,Булавіна О.Б.,NULL,NULL,NULL,NULL,NULL,0974358127,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
271,Шевченківський,Дашкевича Р.,2,Корчма,60.0,Бойко Любомир Петрович,NULL,200.0,NULL,NULL,NULL,0974509099,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
272,Шевченківський,Хмельницького Б.,225,кафе,12.0,Ляховська Олена Василівна,NULL,30.0,NULL,NULL,NULL,0974758515,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
273,Галицький,Словацького Ю.,16,Піца Челентано,NULL,ТзОВ Піца Челентано плюс,NULL,NULL,NULL,NULL,NULL,0974759409,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
274,Залізничний,Патона Є.,4/1,"""Челентано""",47.0,Козак Галина Михайлівна,NULL,NULL,NULL,NULL,NULL,0974759409,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
275,Личаківський,Пасічна,22,"ресторан ""Лайм""",60.0,ФОП Левик М.Й.,NULL,220.0,NULL,NULL,NULL,0974759409,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,вихідний,вихідний
276,Шевченківський,Липинського В.,54,на дровах,12.0,Рудницький Андрій Богданович,NULL,22.0,NULL,NULL,NULL,0974941291,NULL,12:00-16:30,12:00-16:30,12:00-16:30,12:00-16:30,12:00-16:30,вихідний,вихідний
277,Залізничний,"Князя Святослава, пл.",5,"""Експрес-гриль""",56.0,"ТзОВ ""Експрес-гриль"" (кер. Мартович Я.Й.)",NULL,131.7,NULL,NULL,NULL,0975578255,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
278,Галицький,"Ринок, пл.",31,"кафе ""Пяльня""",40.0,"ТзОВ ""Рестро Груп""",NULL,NULL,NULL,NULL,NULL,0975690222,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
279,Галицький,Проїзд Крива Липа,8,Кулінарна студія,NULL,"ТзОВ ""Ренет""",NULL,NULL,NULL,NULL,NULL,0975751066,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
280,Франківський,Сар'яна М.,6.0,"кафе ""Perfetto""",12.0,ФОП Кузьма Юлія Богданівна,NULL,25.0,NULL,NULL,NULL,0975788102,NULL,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,вихідний,вихідний
281,Залізничний,Ряшівська,13.0,"гриль-бар ""Жар-птиця""",75.0,Приставський Степан Терентієвич,NULL,210.0,NULL,NULL,NULL,0975810807,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
282,Шевченківський,"Чорновола В.,просп.",NULL,sushi Time Pizza,40.0,"ТзОВ ""Статок плюс""",NULL,56.0,NULL,NULL,NULL,0975955240,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
283,Сихівський,Карбишева Д.,9,"кафе ""Паприка""",20.0,Цибак Л. В.,NULL,40.0,NULL,NULL,NULL,0975978084,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,NULL,NULL
284,Личаківський,Некрасова М.,4,"Кафе ""Медок""",12.0,"ТзОВ ""Галорис""",NULL,40.0,NULL,NULL,NULL,0976189999,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-15:00
